symbol,name,currency,summary,category_group,category,family,exchange,mic
RU000A0ERGA7.ME,Sberbank Asset Management - Commercial Real Estate Fund,RUB,Sberbank Asset Management - Commercial Real Estate Fund is a real estate fund managed by Sberbank Asset Management. It invests in commercial real estate properties located in Russia. The fund aims to provide investors with exposure to the Russian commercial real estate market.,Real Estate,Commercial Real Estate,,MCX,MISX
RU000A0JR282.ME,VTB - Equity Fund,RUB,VTB - Equity Fund is an equity fund managed by VTB Capital Asset Management. The fund invests primarily in Russian equities. Its objective is to achieve capital appreciation by investing in a diversified portfolio of Russian stocks.,Equities,Equities,,MCX,MISX
RU000A0JR290.ME,VTB Index MMVB YK VTB Kapital,RUB,"VTB Index MMVB YK VTB Kapital is an index fund managed by VTB Capital, designed to track the performance of the Moscow Exchange (MOEX) Russia Index (formerly MICEX). The fund replicates the index by investing in the constituent stocks of the index. It offers investors a way to invest in the Russian stock market through an index-tracking strategy.",Equities,Equities,,MCX,MISX
RU000A0JR2C1.ME,VTB Fond Kaznach YK VTB Kapit,RUB,VTB Fond Kaznach YK VTB Kapit is a treasury fund managed by VTB Capital. The fund invests in Russian government bonds and other fixed-income instruments. It aims to provide investors with a stable income stream while preserving capital.,Fixed Income,Government Bonds,,MCX,MISX
RU000A0JRHC0.ME,ATRIUM UK VELES TR,RUB,"ATRIUM UK VELES TR is a trust or fund managed by Veles Capital, with investments in the United Kingdom (UK). The fund's specific investment focus or asset class (e.g., real estate, equities) is not clear from the name. More information about the fund's strategy is needed.",Financials,,,MCX,MISX
RU000A0JRRN6.ME,Garant FinKom PREMIUM CREDIT,RUB,"Garant FinKom PREMIUM CREDIT is a credit-focused investment fund or product offered by Garant FinKom. The fund invests in debt instruments, such as corporate bonds or loans, with a focus on premium or higher-quality credit. It seeks to generate income for investors through credit investments.",Fixed Income,Corporate Bonds,,MCX,MISX
RU000A0JT7G9.ME,TRANSFINGROUP,RUB,,,,,MCX,MISX
RU000A0JUR61.ME,UK PERAMO PIF PERAMO FondSmInv,RUB,"UK PERAMO PIF PERAMO FondSmInv is a mutual investment fund (PIF) managed by PERAMO FondSmInv, investing in the United Kingdom (UK). The specific investment strategy of the fund requires further clarification, but it focuses on UK-based assets. The fund aims to generate returns for its investors through investments in the UK market.",Financials,,,MCX,MISX
RU000A0JWAW3.ME,SberbankArendBiznes,RUB,SberbankArendBiznes is a real estate fund managed by Sberbank Asset Management in Russia. The fund invests in commercial properties that are leased out for rental income. It aims to generate income for investors through rental revenue from its property portfolio.,Real Estate,Commercial Real Estate,,MCX,MISX
RU000A0JX1H4.ME,PIF RublOblig UK PensNakopl,RUB,PIF RublOblig UK PensNakopl is a mutual investment fund (PIF) in Russia focusing on Ruble-denominated bonds. The fund is managed by UK PensNakopl (likely an asset management company) and invests in a portfolio of Ruble bonds. It serves as a vehicle for pension accumulation through fixed-income investments.,Fixed Income,Bonds,,MCX,MISX
RU000A0JXP78.ME,DOM.RF UPRAVLENIE,RUB,"DOM.RF UPRAVLENIE is a fund or investment vehicle managed by DOM.RF UPRAVLENIE, a Russian entity involved in housing and development. The fund's specific investment focus (e.g., real estate, construction projects) requires further information. It is connected to the Russian housing market.",Financials,,,MCX,MISX
RU000A0ZYC64.ME,SBER ASSET MGMT,RUB,"SBER ASSET MGMT is an investment product or fund managed by SBER Asset Management. The fund's specific investment strategy (e.g., equities, bonds, real estate) is not specified in the name. Additional information is needed to understand its asset allocation.",Financials,,,MCX,MISX
RU000A0ZYPM4.ME,PIF Gazprombank Eurobonds +,RUB,PIF Gazprombank Eurobonds + is a mutual investment fund (PIF) that invests in Eurobonds issued by Gazprombank and possibly other related entities. The fund seeks to provide investors with exposure to the Eurobond market through Gazprombank's debt securities. It is managed by Gazprombank's asset management arm.,Fixed Income,Bonds,,MCX,MISX
RU000A0ZZ5R2.ME,PIF SberbankArendBiznes3,RUB,"PIF SberbankArendBiznes3 is a real estate mutual investment fund (PIF) managed by Sberbank Asset Management. The fund invests in commercial real estate properties with the aim of generating rental income. It is the third fund in the SberbankArendBiznes series, with a similar investment strategy.",Real Estate,Commercial Real Estate,,MCX,MISX
RU000A0ZZAU6.ME,ACCENT ASSET MGMT,RUB,"ACCENT ASSET MGMT is an investment fund or product managed by ACCENT ASSET MGMT. The fund's specific investment focus or asset class (e.g., equities, bonds, real estate) is not specified in the name. Further information is needed to determine its investment strategy.",Financials,,,MCX,MISX
RU000A0ZZCD8.ME,ATON MANAGEMENT CO,RUB,"ATON MANAGEMENT CO is an investment fund or product managed by ATON MANAGEMENT CO. The fund's specific investment focus or asset class (e.g., equities, bonds, real estate) is not specified in the name. Additional information is required to determine its investment strategy.",Financials,,,MCX,MISX
RU000A0ZZVH9.ME,PIF Gazprombank Eurobonds,RUB,PIF Gazprombank Eurobonds is a mutual investment fund (PIF) investing in Eurobonds issued by Gazprombank. The fund aims to offer investors access to Gazprombank's Eurobond debt. The fund is managed by Gazprombank's asset management division.,Fixed Income,Bonds,,MCX,MISX
