symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
AASG.L,Amundi Index Solutions - Amundi MSCI Em Asia UCITS ETF-C USD,GBP,"To track the performance of MSCI Emerging Markets Asia Index, and to
minimize the tracking error between the net asset value of the sub-fund
and the performance of the Index.",Financials,Emerging Markets,Amundi Asset Management,LSE,XLON,LU1681044480
AASU.L,Amundi Index Solutions - Amundi MSCI Em Asia UCITS ETF-C USD,USD,"To track the performance of MSCI Emerging Markets Asia Index, and to
minimize the tracking error between the net asset value of the sub-fund
and the performance of the Index.",Financials,Emerging Markets,Amundi Asset Management,LSE,XLON,LU1681044480
ACWD.L,SPDR MSCI ACWI UCITS ETF,USD,"The objective of the SPDR MSCI ACWI ETF (the ""Fund"") is to track the equity market performance of developed and emerging markets. The investment policy of the Fund is to track the performance of the MSCI ACWI (All Country World Index) Index (or any other index determined by the Directors from time to time to track substantially the same market as the MSCI ACWI (All Country World Index) Index and which is considered by the Directors to be an appropriate index for the Fund to track, in accordance with the Prospectus) (the ""Index"") as closely as possible, while seeking to minimize as far as possible the tracking error between the Fundâs performance and that of the Index.",Alternatives,Blend,State Street Global Advisors,LSE,XLON,IE00BF1B7389
ACWI.L,SSgA SPDR ETFs Europe I Public Limited Company - SPDR MSCI ACWI UCITS ETF,GBP,"SSgA SPDR ETFs Europe I Public Limited Company - SPDR MSCI ACWI UCITS ETF is an exchange-traded fund (ETF) that tracks the MSCI ACWI (All Country World Index). The ETF provides investors with exposure to a broad range of developed and emerging market equities globally, offering diversification across many countries and sectors. The ETF is managed by State Street Global Advisors (SSgA).",Alternatives,Blend,State Street Global Advisors,LSE,XLON,
ACWL.L,Lyxor MSCI All Country World UCITS ETF USD Acc,GBP,The objective of the Sub-Fund is to track both the upward and the downward evolution of the Index.,Alternatives,Blend,Lyxor International Asset Management,LSE,XLON,LU1829220216
ACWU.L,Lyxor MSCI All Country World UCITS ETF USD Acc,USD,The objective of the Sub-Fund is to track both the upward and the downward evolution of the Index.,Alternatives,Blend,Lyxor International Asset Management,LSE,XLON,LU1829220216
AEJ.L,Lyxor MSCI AC Asia Pacific Ex Japan UCITS ETF - Acc-EUR,USD,"The investment objective of the MULTI UNITS LUXEMBOURG â Lyxor MSCI AC Asia Pacific Ex Japan UCITS ETF (the ""Sub-Fund"") is to track both the upward and the downward evolution of the MSCI AC Asia Pacific-ex Japan Net Total Return index (the ""Index"") denominated in US Dollars and representative of the overall performance of large-cap and mid-cap stocks across main Asian Pacific excluding Japan, while minimizing the volatility of the difference between the return of the Sub-Fund and the return of the Index (the ""Tracking Error"").",,Emerging Markets,Lyxor International Asset Management,LSE,XLON,LU1900068328
AEJL.L,Multi Units Luxembourg - Lyxor MSCI AC Asia Pacific Ex Japan UCITS ETF,GBP,"Multi Units Luxembourg - Lyxor MSCI AC Asia Pacific Ex Japan UCITS ETF is an exchange-traded fund that tracks the performance of the MSCI AC Asia Pacific Ex Japan Index. The fund provides investors with exposure to a broad range of companies in the Asia Pacific region, excluding Japan. Lyxor Asset Management, a French asset manager, manages the fund.",,Emerging Markets,,LSE,XLON,
AEMD.L,Amundi Index Solutions - Amundi Index MSCI Emerging Markets UCITS ETF DR EUR,GBP,"The objective of this Sub-fund is to replicate the MSCI Emerging markets Index composition while slightly outperforming the index and maintaining a very low tracking error.
The Sub-fund aims to achieve a level of tracking error whereby the annual variability of the difference in returns between the performance of the sub-fund and its index will not normally exceed 2%. On a daily basis, the manager
aims to maintain the tracking error under 0.50%.",,Emerging Markets,Amundi Asset Management,LSE,XLON,LU1437017350
AEME.L,Amundi Index Solutions - Amundi Index MSCI Emerging Markets,USD,"Amundi Index Solutions - Amundi Index MSCI Emerging Markets is an exchange-traded fund (ETF) designed to replicate the performance of the MSCI Emerging Markets Index. It offers investors exposure to a broad range of companies located in emerging market countries. Amundi, a French asset manager, manages the fund, providing a cost-effective and diversified investment solution.",,Emerging Markets,Amundi Asset Management,LSE,XLON,
