symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AAAP-GB.AQ,ANGLO AFRICAN AGRI,"ANGLO AFRICAN AGRICULTURE PLC focuses on investing in and operating agricultural and related businesses, primarily in Africa. The company aims to create value by improving agricultural yields and processing capabilities, contributing to food security and economic development in the region. Headquartered in the UK, it explores opportunities in diverse agricultural sectors.",GBP,Consumer Staples,"Food, Beverage & Tobacco",,AQS,AQXE,Aquis Exchange,,,,,,,,,,,,False
AAU-GB.AQ,ARIANA RESOURCES,"Ariana Resources is a gold exploration and development company. The company is focused on advancing its portfolio of projects in Turkey, including the Kiziltepe Sector of the Red Rabbit Project. Ariana Resources is based in the United Kingdom.",GBP,Materials,Materials,,AQS,AQXE,Aquis Exchange,,,,,,,,,,,,False
AAZ-GB.AQ,ANGLO ASIAN MINING,"Anglo Asian Mining PLC is a gold, copper, and silver producer with a portfolio of production and exploration assets in Azerbaijan. The company is focused on increasing production and reserves at its existing mines and developing new projects. Anglo Asian Mining is headquartered in London, United Kingdom.",GBP,Materials,Materials,,AQS,AQXE,Aquis Exchange,,,,,,,,,,,,False
ABBY-GB.AQ,ABBEY,,GBP,,,,AQS,AQXE,Aquis Exchange,,,,,,,,,,,,False
ABC-GB.AQ,Abcam plc,"Abcam plc, a life sciences company, researches, develops, and distributes biological reagents and tools for research, drug discovery, and diagnostics in the United States, China, Japan, Europe, the Middle East, Africa, and rest of Asia Pacific. The company offers various research products, including primary and secondary antibodies; ELISA and matched antibody pairs; cell and tissue imaging tools; cellular and biochemical assays; proteins and peptides; proteomics tools; agonists, antagonists, activators, and inhibitors; lysates; and multiplex assays. Its research products are used in the areas of cancer, cardiovascular, cell biology, developmental biology, epigenetics, nuclear signaling, immunology, metabolism, microbiology, neuroscience, signal transduction, and stem cells. Further, the company offers diagnostic and therapeutic solutions. The company also sells its products online. Abcam plc was founded in 1998 and is headquartered in Cambridge, the United Kingdom.",GBP,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,AQS,AQXE,Aquis Exchange,United Kingdom,,Cambridge,CB2 0AX,http://www.abcam.com,Mid Cap,,,,,,True
ABDP-GB.AQ,AB DYNAMICS PLC,"AB Dynamics PLC provides advanced testing and measurement systems to the global automotive industry. They specialize in solutions for vehicle dynamics, suspension, and advanced driver assistance systems (ADAS) testing, with headquarters in the United Kingdom.",GBP,Industrials,Capital Goods,,AQS,AQXE,Aquis Exchange,,,,,,,,,,,,False
ADB.AQ,ADNAMS PLC,"Adnams PLC is a British brewery, pub owner, and retailer, producing a range of beers, spirits, and wines, and operating pubs and hotels primarily in East Anglia, UK",GBP,Consumer Staples,"Food, Beverage & Tobacco",,AQS,AQXE,Aquis Exchange,United States,,,,,,,,,,,False
AFHP-GB.AQ,AFH FINANCIAL GROU,,GBP,,,,AQS,AQXE,Aquis Exchange,,,,,,,,,,,,False
AFRI.AQ,APOLLON FORMULARIE,,GBP,,,,AQS,AQXE,Aquis Exchange,Gibraltar,,,,,,,,,,,False
AGTA-GB.AQ,AGRITERRA LTD,,GBP,,,,AQS,AQXE,Aquis Exchange,,,,,,,,,,,,False
